,DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
46,0.0,41.05,41.33,0.28,1885.155412639044,1/2/2011,2,2,24,34,23,1,0.0,35.3,35.47,0.17,6,2011
47,0.0,38.92,39.02,0.1,1841.6752922682263,1/2/2011,2,2,21,31,24,1,0.0,26.68,26.79,0.11,6,2011
48,0.0,36.27,36.41,0.14,1811.734180198891,1/3/2011,3,3,19,29,1,1,0.0,23.67,23.82,0.15,0,2011
49,0.0,34.23,34.42,0.19,1809.5489192591579,1/3/2011,3,3,17,28,2,1,0.0,30.08,30.33,0.25,0,2011
50,0.0,34.47,34.65,0.18,1815.1003578279608,1/3/2011,3,3,15,27,3,1,0.0,30.74,30.98,0.24,0,2011
51,0.0,33.49,33.67,0.18,1755.0360953544316,1/3/2011,3,3,15,26,4,1,0.0,2.51,2.53,0.02,0,2011
52,0.0,35.95,36.14,0.19,1764.7216832638678,1/3/2011,3,3,15,26,5,1,0.0,0.0,0.0,0.0,0,2011
53,0.0,39.28,39.59,0.31,1832.035772991504,1/3/2011,3,3,15,26,6,1,0.0,25.95,26.17,0.22,0,2011
54,0.0,45.61,45.75,0.14,1913.2570231430736,1/3/2011,3,3,10,25,7,1,0.0,54.87,55.37,0.5,0,2011
55,0.0,50.07,50.25,0.18,1917.0426674108007,1/3/2011,3,3,9,23,8,1,0.0,41.88,42.22,0.34,0,2011
56,0.0,49.17,49.32,0.15,1918.333433768438,1/3/2011,3,3,9,23,9,1,0.0,41.41,41.68,0.27,0,2011
57,0.0,49.11,49.14,0.03,1932.920834389831,1/3/2011,3,3,9,25,10,1,0.0,53.98,54.44,0.46,0,2011
58,0.0,50.65,50.74,0.09,1932.6179596420575,1/3/2011,3,3,9,26,11,1,0.0,45.61,46.03,0.42,0,2011
59,0.0,53.15,53.2,0.05,1952.5824169852442,1/3/2011,3,3,7,27,12,1,0.0,42.43,42.82,0.39,0,2011
60,0.0,50.39,50.4,0.01,1952.392561234245,1/3/2011,3,3,7,29,13,1,0.0,46.77,47.21,0.44,0,2011
61,0.0,47.71,47.73,0.02,1932.0981435429144,1/3/2011,3,3,7,30,14,1,0.0,38.6,38.96,0.36,0,2011
62,0.0,46.63,46.67,0.04,1927.284051506976,1/3/2011,3,3,7,30,15,1,0.0,38.6,38.96,0.36,0,2011
63,0.0,48.09,48.13,0.04,1926.6115945285494,1/3/2011,3,3,8,29,16,1,0.0,38.46,38.81,0.35,0,2011
64,0.0,48.37,48.47,0.1,1919.585905610719,1/3/2011,3,3,9,27,17,1,0.0,44.98,45.44,0.46,0,2011
65,0.0,80.04,80.07,0.03,2128.110514384294,1/3/2011,3,3,10,26,18,1,0.0,67.06,67.61,0.55,0,2011
66,0.0,76.9,76.91,0.01,2102.989224578435,1/3/2011,3,3,11,25,19,1,0.0,66.61,67.13,0.52,0,2011
67,0.0,63.24,63.3,0.06,1999.951884508975,1/3/2011,3,3,11,25,20,1,0.0,46.26,46.59,0.33,0,2011
68,0.0,58.67,59.0,0.33,1976.5975743424633,1/3/2011,3,3,11,24,21,1,0.0,45.06,45.42,0.36,0,2011
69,0.0,49.79,49.93,0.14,1900.8745122559467,1/3/2011,3,3,11,24,22,1,0.0,39.37,39.74,0.37,0,2011
70,0.0,46.11,46.18,0.07,1877.2143079488487,1/3/2011,3,3,11,23,23,1,0.0,39.2,39.52,0.32,0,2011
71,0.0,39.46,39.65,0.19,1811.822624772852,1/3/2011,3,3,11,21,24,1,0.0,25.27,25.48,0.21,0,2011
72,0.0,38.04,38.33,0.29,1852.6850901820712,1/4/2011,4,4,11,20,1,1,0.0,44.06,44.29,0.23,1,2011
73,0.0,36.32,36.56,0.24,1811.9806736620408,1/4/2011,4,4,11,19,2,1,0.0,44.78,45.2,0.42,1,2011
74,0.0,36.16,36.43,0.27,1811.7716774416776,1/4/2011,4,4,12,20,3,1,0.0,43.2,43.61,0.41,1,2011
75,0.0,36.08,36.32,0.24,1815.2200270313424,1/4/2011,4,4,12,20,4,1,0.0,45.68,46.1,0.42,1,2011
76,-0.08,36.35,36.46,0.19,1819.6983467062419,1/4/2011,4,4,12,20,5,1,0.0,46.48,46.87,0.39,1,2011
77,0.0,38.25,38.49,0.24,1816.724342163396,1/4/2011,4,4,12,20,6,1,0.0,38.12,38.46,0.34,1,2011
78,0.0,41.83,42.03,0.2,1847.7259628996053,1/4/2011,4,4,11,18,7,1,0.0,46.9,47.26,0.36,1,2011
79,-0.41,48.96,48.83,0.28,1889.3786305698518,1/4/2011,4,4,12,18,8,1,0.0,51.73,52.16,0.43,1,2011
80,-0.49,49.43,49.19,0.25,1903.3135839415254,1/4/2011,4,4,13,20,9,1,0.0,56.1,56.58,0.48,1,2011
81,-0.09,50.22,50.27,0.14,1923.74849468079,1/4/2011,4,4,14,24,10,1,0.0,57.73,58.24,0.51,1,2011
82,0.0,50.35,50.51,0.16,1933.407772795084,1/4/2011,4,4,14,27,11,1,0.0,51.23,51.68,0.45,1,2011
83,0.0,48.9,49.16,0.26,1945.7040544836966,1/4/2011,4,4,14,30,12,1,0.0,50.26,50.71,0.45,1,2011
84,0.0,45.63,45.9,0.27,1922.580332421299,1/4/2011,4,4,15,32,13,1,0.0,46.22,46.69,0.47,1,2011
85,0.0,44.72,45.0,0.28,1912.247527704172,1/4/2011,4,4,17,34,14,1,0.0,41.61,42.06,0.45,1,2011
86,0.0,44.02,44.3,0.28,1907.8641319104106,1/4/2011,4,4,17,34,15,1,0.0,38.56,38.95,0.39,1,2011
87,-0.19,44.75,44.82,0.26,1926.0013627538133,1/4/2011,4,4,14,34,16,1,0.0,39.41,39.78,0.37,1,2011
88,-0.06,46.49,46.66,0.23,1943.6823937689915,1/4/2011,4,4,13,33,17,1,0.0,47.77,48.23,0.46,1,2011
89,-0.15,64.44,64.61,0.32,2082.8624895846333,1/4/2011,4,4,13,30,18,1,2.1,63.02,65.64,0.52,1,2011
90,0.0,60.38,60.72,0.34,2042.8519101116499,1/4/2011,4,4,13,30,19,1,0.71,58.81,60.0,0.48,1,2011
91,0.0,52.58,52.94,0.36,2047.6516940306417,1/4/2011,4,4,14,28,20,1,8.14,63.91,72.71,0.66,1,2011
92,0.0,48.96,49.36,0.4,1984.6676661670901,1/4/2011,4,4,15,27,21,1,5.22,56.78,62.57,0.57,1,2011
93,0.0,49.39,49.67,0.28,1919.411685864993,1/4/2011,4,4,15,27,22,1,0.0,47.04,47.49,0.45,1,2011
94,0.0,44.1,44.43,0.33,1892.4878342374232,1/4/2011,4,4,15,27,23,1,0.0,42.5,42.86,0.36,1,2011
95,0.0,40.1,40.25,0.15,1856.3113108817035,1/4/2011,4,4,14,26,24,1,0.0,37.32,37.59,0.27,1,2011
96,0.0,40.03,40.27,0.24,1872.9402220366246,1/5/2011,5,5,14,27,1,1,0.0,45.31,45.7,0.39,2,2011
97,0.0,38.66,39.0,0.34,1853.2818830722772,1/5/2011,5,5,15,27,2,1,0.0,42.64,43.08,0.44,2,2011
98,0.0,38.2,38.54,0.34,1839.541519255584,1/5/2011,5,5,16,27,3,1,0.0,40.39,40.84,0.45,2,2011
99,0.0,37.64,37.91,0.27,1812.543390111587,1/5/2011,5,5,16,26,4,1,0.0,38.97,39.5,0.53,2,2011
100,0.0,38.64,38.93,0.29,1850.1865893140343,1/5/2011,5,5,17,25,5,1,0.0,57.09,57.69,0.6,2,2011
101,0.0,41.15,41.29,0.14,1827.873392143203,1/5/2011,5,5,18,25,6,1,0.0,41.66,42.12,0.46,2,2011
102,0.0,45.2,45.48,0.28,1849.6430586133083,1/5/2011,5,5,19,24,7,1,0.0,48.42,49.01,0.59,2,2011
103,0.0,55.89,56.33,0.44,1932.0086483966452,1/5/2011,5,5,19,24,8,1,0.0,47.83,48.29,0.46,2,2011
104,0.0,54.57,55.0,0.43,1941.9248612699812,1/5/2011,5,5,20,25,9,1,0.0,59.67,60.26,0.59,2,2011
105,0.0,51.8,52.16,0.36,1902.4608937856876,1/5/2011,5,5,20,26,10,1,0.0,56.24,56.96,0.72,2,2011
106,0.0,51.35,51.69,0.34,1910.635358067274,1/5/2011,5,5,20,29,11,1,0.0,53.2,53.9,0.7,2,2011
107,0.0,48.9,49.19,0.29,1900.5087286384198,1/5/2011,5,5,19,31,12,1,0.0,43.13,43.69,0.56,2,2011
108,0.0,47.32,47.6,0.28,1910.424709201962,1/5/2011,5,5,18,33,13,1,0.0,42.58,43.1,0.52,2,2011
109,0.0,46.79,47.08,0.29,1906.1684080577143,1/5/2011,5,5,18,33,14,1,0.0,43.31,43.86,0.55,2,2011
110,0.0,45.86,46.17,0.31,1933.6404914984328,1/5/2011,5,5,11,33,15,1,0.0,42.38,42.87,0.49,2,2011
111,0.0,46.38,46.68,0.3,1933.2495737114086,1/5/2011,5,5,10,31,16,1,0.0,41.43,41.86,0.43,2,2011
112,0.0,55.44,55.88,0.44,2009.4145033532714,1/5/2011,5,5,9,30,17,1,0.0,59.1,59.74,0.64,2,2011
113,0.0,81.19,81.51,0.32,2205.062343078979,1/5/2011,5,5,10,28,18,1,0.0,94.21,95.0,0.79,2,2011
114,1.03,77.14,78.48,0.31,2134.6238194450953,1/5/2011,5,5,8,27,19,1,0.0,56.34,56.75,0.41,2,2011
115,0.07,60.66,61.07,0.34,2020.0746965363196,1/5/2011,5,5,9,25,20,1,0.0,53.66,54.06,0.4,2,2011
116,0.0,56.31,56.88,0.57,1979.2509805094035,1/5/2011,5,5,10,24,21,1,0.0,48.89,49.34,0.45,2,2011
117,0.0,51.05,51.46,0.41,1921.0413809345346,1/5/2011,5,5,8,22,22,1,0.0,46.62,47.15,0.53,2,2011
118,0.0,45.86,46.09,0.23,1872.1586333968226,1/5/2011,5,5,10,22,23,1,0.0,51.11,51.76,0.65,2,2011
119,0.0,42.97,43.26,0.29,1858.4108084203756,1/5/2011,5,5,9,21,24,1,0.0,46.68,47.23,0.55,2,2011
120,0.0,42.1,42.47,0.37,1847.0776901726526,1/6/2011,6,6,10,19,1,1,0.0,42.14,42.56,0.42,3,2011
121,0.0,41.62,41.98,0.36,1839.4433828407111,1/6/2011,6,6,9,18,2,1,0.0,40.32,40.72,0.4,3,2011
122,0.0,41.0,41.34,0.34,1838.0905860466262,1/6/2011,6,6,9,18,3,1,0.0,40.98,41.37,0.39,3,2011
123,0.0,41.04,41.37,0.33,1831.1778477883204,1/6/2011,6,6,9,16,4,1,0.0,41.87,42.24,0.37,3,2011
124,0.0,41.82,42.13,0.31,1840.5948437688946,1/6/2011,6,6,9,16,5,1,0.0,41.77,42.09,0.32,3,2011
125,0.0,42.7,42.99,0.29,1859.8648344645123,1/6/2011,6,6,10,17,6,1,0.0,45.25,45.54,0.29,3,2011
126,0.0,49.68,50.14,0.46,1901.037530725784,1/6/2011,6,6,11,17,7,1,0.0,52.91,53.38,0.47,3,2011
127,0.0,53.16,53.82,0.66,1934.8060641956722,1/6/2011,6,6,12,17,8,1,0.0,64.24,64.89,0.65,3,2011
128,0.0,52.21,52.71,0.5,1911.8670722289949,1/6/2011,6,6,12,18,9,1,0.0,55.97,56.56,0.59,3,2011
129,0.0,51.65,52.15,0.5,1927.1671688363551,1/6/2011,6,6,13,20,10,1,0.0,57.88,58.43,0.55,3,2011
130,0.08,51.55,52.08,0.45,1935.9913269296271,1/6/2011,6,6,13,22,11,1,0.0,55.05,55.54,0.49,3,2011
131,0.1,50.71,51.04,0.23,1927.1735598312587,1/6/2011,6,6,13,25,12,1,0.0,49.56,50.01,0.45,3,2011
132,0.09,50.17,50.46,0.2,1944.0372629164917,1/6/2011,6,6,8,26,13,1,0.0,48.45,48.9,0.45,3,2011
133,0.12,48.28,48.69,0.29,1952.8201555081919,1/6/2011,6,6,8,26,14,1,0.0,49.78,50.15,0.37,3,2011
134,0.15,46.85,47.3,0.3,1945.2689886871235,1/6/2011,6,6,8,27,15,1,0.0,47.03,47.39,0.36,3,2011
135,0.0,48.22,48.43,0.21,1943.0901680204538,1/6/2011,6,6,7,27,16,1,0.0,44.67,45.04,0.37,3,2011
136,0.27,52.46,52.96,0.23,1988.2879917201544,1/6/2011,6,6,7,26,17,1,0.0,59.15,59.63,0.48,3,2011
137,0.72,66.87,68.06,0.47,2107.5067611595005,1/6/2011,6,6,7,25,18,1,0.0,69.53,69.99,0.46,3,2011
138,1.48,65.67,67.63,0.48,2099.1657319636543,1/6/2011,6,6,7,22,19,1,0.0,72.25,72.68,0.43,3,2011
139,2.0,56.19,58.53,0.34,2024.3177499259095,1/6/2011,6,6,7,24,20,1,0.0,58.12,58.48,0.36,3,2011
140,0.89,51.93,53.17,0.35,1971.134931243547,1/6/2011,6,6,8,22,21,1,0.0,61.74,62.25,0.51,3,2011
141,0.33,49.87,50.44,0.24,1943.273165800128,1/6/2011,6,6,8,22,22,1,0.0,64.56,65.19,0.63,3,2011
142,0.0,47.7,47.99,0.29,1909.3045332099853,1/6/2011,6,6,8,21,23,1,0.0,54.44,54.99,0.55,3,2011
143,0.0,44.32,44.69,0.37,1905.028190590755,1/6/2011,6,6,8,21,24,1,0.0,64.19,64.87,0.68,3,2011
144,0.0,43.58,44.01,0.43,1870.3380872855228,1/7/2011,7,7,8,21,1,1,0.0,49.48,50.11,0.63,4,2011
145,0.0,40.16,40.64,0.48,1845.5685653286691,1/7/2011,7,7,9,21,2,1,0.0,46.69,47.3,0.61,4,2011
146,0.0,38.91,39.44,0.53,1846.5810082752455,1/7/2011,7,7,8,21,3,1,0.0,43.4,43.93,0.53,4,2011
147,0.0,37.96,38.39,0.43,1833.18261051534,1/7/2011,7,7,7,21,4,1,0.0,45.29,45.91,0.62,4,2011
148,0.0,39.07,39.57,0.5,1848.9782909972787,1/7/2011,7,7,7,20,5,1,0.0,57.16,57.94,0.78,4,2011
149,0.0,43.69,44.03,0.34,1870.274330723399,1/7/2011,7,7,7,19,6,1,0.0,48.67,49.19,0.52,4,2011
150,0.0,50.47,51.01,0.54,1942.4858923327445,1/7/2011,7,7,7,19,7,1,0.0,80.3,81.3,1.0,4,2011
151,0.0,52.66,53.33,0.67,2020.2466727271767,1/7/2011,7,7,8,18,8,1,0.0,109.91,111.01,1.1,4,2011
152,0.0,58.04,58.8,0.76,1993.4188056575558,1/7/2011,7,7,10,18,9,1,0.0,71.43,72.13,0.7,4,2011
153,0.0,54.32,54.94,0.62,2051.3143781141043,1/7/2011,7,7,12,20,10,1,0.0,121.54,122.67,1.13,4,2011
154,0.0,54.34,54.97,0.63,2062.220353664289,1/7/2011,7,7,14,22,11,1,0.0,117.12,118.11,0.99,4,2011
155,0.0,53.05,53.65,0.6,1957.182444557326,1/7/2011,7,7,15,24,12,1,0.0,65.89,66.6,0.71,4,2011
156,0.0,50.86,51.4,0.54,1939.06695913889,1/7/2011,7,7,15,24,13,1,0.0,94.24,95.57,1.33,4,2011
157,0.0,48.79,49.32,0.53,1914.1941675537864,1/7/2011,7,7,16,25,14,1,0.0,69.77,70.7,0.93,4,2011
158,0.0,48.14,48.65,0.51,1906.0964002737396,1/7/2011,7,7,19,27,15,1,-0.69,52.74,52.6,0.55,4,2011
159,0.0,48.63,49.17,0.54,1917.9455420696233,1/7/2011,7,7,19,27,16,1,-0.64,53.89,53.77,0.52,4,2011
160,0.0,55.06,55.76,0.7,1971.8781062865446,1/7/2011,7,7,20,27,17,1,-1.12,67.26,66.8,0.66,4,2011
161,0.28,76.48,77.5,0.74,2106.980756580173,1/7/2011,7,7,21,26,18,1,-1.53,72.26,71.28,0.55,4,2011
162,0.0,69.61,70.36,0.75,2064.5007539190224,1/7/2011,7,7,22,25,19,1,-1.54,70.48,69.41,0.47,4,2011
163,0.21,53.69,54.52,0.62,1927.169127439087,1/7/2011,7,7,22,25,20,1,-0.72,56.21,56.06,0.57,4,2011
164,0.22,48.54,49.32,0.56,1879.6600093861593,1/7/2011,7,7,22,24,21,1,0.0,45.66,46.14,0.48,4,2011
165,0.0,49.81,50.32,0.51,1884.534635586941,1/7/2011,7,7,22,24,22,1,0.0,53.88,54.52,0.64,4,2011
166,0.0,48.27,48.74,0.47,1861.9776424984939,1/7/2011,7,7,21,23,23,1,0.0,50.75,51.4,0.65,4,2011
167,0.0,43.94,44.27,0.33,1820.2529860758957,1/7/2011,7,7,19,23,24,1,0.0,44.68,45.34,0.66,4,2011
168,0.0,51.09,51.77,0.68,1875.7504142961218,1/8/2011,8,8,18,23,1,1,0.0,51.89,52.75,0.86,5,2011
169,0.0,51.69,52.54,0.85,1883.5939406280363,1/8/2011,8,8,17,22,2,1,0.0,48.11,48.91,0.8,5,2011
170,0.0,49.24,50.06,0.82,1864.872794838126,1/8/2011,8,8,17,22,3,1,0.0,44.86,45.62,0.76,5,2011
171,0.0,47.96,48.8,0.84,1859.0451911518605,1/8/2011,8,8,17,22,4,1,0.0,43.94,44.68,0.74,5,2011
172,0.0,48.16,49.01,0.85,1849.691807055252,1/8/2011,8,8,19,21,5,1,0.0,44.31,45.04,0.73,5,2011
173,0.0,45.95,46.74,0.79,1832.574679354077,1/8/2011,8,8,19,20,6,1,0.0,48.62,49.41,0.79,5,2011
174,0.0,52.0,52.59,0.59,1883.897217922247,1/8/2011,8,8,18,20,7,1,0.0,45.05,45.57,0.52,5,2011
175,0.0,52.67,53.24,0.57,1897.3435687600067,1/8/2011,8,8,17,20,8,1,0.0,47.17,47.68,0.51,5,2011
176,0.0,52.54,53.34,0.8,1912.577847142391,1/8/2011,8,8,18,20,9,1,0.0,49.8,50.31,0.51,5,2011
177,0.0,58.45,59.27,0.82,1951.9739792398661,1/8/2011,8,8,19,21,10,1,0.0,66.42,67.25,0.83,5,2011
178,0.0,62.98,63.95,0.97,1979.2042074586257,1/8/2011,8,8,19,22,11,1,0.0,73.16,74.22,1.06,5,2011
179,0.0,59.59,60.44,0.85,1954.4110344522687,1/8/2011,8,8,20,23,12,1,0.0,72.01,73.06,1.05,5,2011
180,0.0,58.77,59.57,0.8,1961.4848703706925,1/8/2011,8,8,20,24,13,1,0.0,66.07,66.93,0.86,5,2011
181,0.0,54.75,55.47,0.72,1930.9650997416404,1/8/2011,8,8,20,24,14,1,0.0,50.3,50.86,0.56,5,2011
182,0.0,52.48,53.2,0.72,1916.4282745614603,1/8/2011,8,8,22,25,15,1,0.0,48.23,48.75,0.52,5,2011
183,0.0,54.66,55.4,0.74,1934.625470157802,1/8/2011,8,8,22,25,16,1,0.0,47.28,47.74,0.46,5,2011
184,0.0,62.05,62.95,0.9,1985.7402069005568,1/8/2011,8,8,22,25,17,1,0.0,58.95,59.64,0.69,5,2011
185,0.0,82.65,83.7,1.05,2120.9950619296337,1/8/2011,8,8,22,25,18,1,0.0,75.66,76.59,0.93,5,2011
186,0.0,78.35,79.32,0.97,2086.5861835197093,1/8/2011,8,8,22,26,19,1,0.0,62.13,62.87,0.74,5,2011
187,0.0,73.97,74.96,0.99,2047.0971189333363,1/8/2011,8,8,22,26,20,1,0.0,58.44,59.23,0.79,5,2011
188,0.0,62.23,63.06,0.83,1973.126330345749,1/8/2011,8,8,22,26,21,1,0.0,48.52,49.11,0.59,5,2011
189,0.0,60.76,61.66,0.9,1961.0548935291981,1/8/2011,8,8,23,25,22,1,0.0,48.2,48.77,0.57,5,2011
190,0.0,55.77,56.52,0.75,1913.4484794139512,1/8/2011,8,8,23,24,23,1,0.0,43.97,44.5,0.53,5,2011
191,0.0,53.2,53.94,0.74,1903.4086331809526,1/8/2011,8,8,22,24,24,1,0.0,43.31,43.82,0.51,5,2011
192,0.0,48.77,49.32,0.55,1870.4732534503569,1/9/2011,9,9,22,24,1,1,0.0,43.4,43.9,0.5,6,2011
193,0.0,48.31,49.08,0.77,1867.0832352315392,1/9/2011,9,9,21,24,2,1,0.0,44.02,44.66,0.64,6,2011
194,0.0,45.95,46.75,0.8,1850.3535380373814,1/9/2011,9,9,21,24,3,1,0.0,42.03,42.67,0.64,6,2011
195,0.0,43.79,44.51,0.72,1820.358187647755,1/9/2011,9,9,20,24,4,1,0.0,19.02,19.31,0.29,6,2011
196,0.0,43.79,44.51,0.72,1836.3615749385676,1/9/2011,9,9,20,24,5,1,0.0,41.92,42.57,0.65,6,2011
197,0.0,43.82,44.48,0.66,1837.130342455359,1/9/2011,9,9,19,23,6,1,0.0,54.04,54.9,0.86,6,2011
198,0.0,45.1,45.71,0.61,1853.017763621834,1/9/2011,9,9,18,23,7,1,0.0,47.89,48.56,0.67,6,2011
199,0.0,48.17,48.78,0.61,1872.9929498085162,1/9/2011,9,9,17,22,8,1,0.0,46.02,46.61,0.59,6,2011
200,0.0,49.87,50.56,0.69,1913.3532440561744,1/9/2011,9,9,17,22,9,1,0.0,47.69,48.11,0.42,6,2011
201,0.0,52.19,52.72,0.53,1925.5785546997815,1/9/2011,9,9,16,23,10,1,0.0,49.1,49.56,0.46,6,2011
202,0.0,51.37,51.95,0.58,1924.185826284223,1/9/2011,9,9,16,24,11,1,0.0,49.49,50.0,0.51,6,2011
203,0.0,51.38,51.99,0.61,1942.242496097062,1/9/2011,9,9,15,26,12,1,0.0,54.12,54.72,0.6,6,2011
204,0.0,51.3,51.9,0.6,1940.9967142993419,1/9/2011,9,9,15,27,13,1,0.0,51.43,52.02,0.59,6,2011
