DA_CC,DA_EC,DA_LMP,DA_MLC,DEMAND,Date,Day,DayOfYear,DewPnt,DryBulb,Hour,Month,RT_CC,RT_EC,RT_LMP,RT_MLC,WeekDay,Year
0,50.65,50.74,0.09,,1/3/2011,3,3,9,26,11,1,0,45.61,46.03,0.42,0,2011
0,53.15,53.2,0.05,,1/3/2011,3,3,7,27,12,1,0,42.43,42.82,0.39,0,2011
0,50.39,50.4,0.01,,1/3/2011,3,3,7,29,13,1,0,46.77,47.21,0.44,0,2011
0,47.71,47.73,0.02,,1/3/2011,3,3,7,30,14,1,0,38.6,38.96,0.36,0,2011
0,46.63,46.67,0.04,,1/3/2011,3,3,7,30,15,1,0,38.6,38.96,0.36,0,2011
0,48.09,48.13,0.04,,1/3/2011,3,3,8,29,16,1,0,38.46,38.81,0.35,0,2011
0,48.37,48.47,0.1,,1/3/2011,3,3,9,27,17,1,0,44.98,45.44,0.46,0,2011
0,80.04,80.07,0.03,,1/3/2011,3,3,10,26,18,1,0,67.06,67.61,0.55,0,2011
0,76.9,76.91,0.01,,1/3/2011,3,3,11,25,19,1,0,66.61,67.13,0.52,0,2011
0,63.24,63.3,0.06,,1/3/2011,3,3,11,25,20,1,0,46.26,46.59,0.33,0,2011
0,58.67,59,0.33,,1/3/2011,3,3,11,24,21,1,0,45.06,45.42,0.36,0,2011
0,49.79,49.93,0.14,,1/3/2011,3,3,11,24,22,1,0,39.37,39.74,0.37,0,2011
0,46.11,46.18,0.07,,1/3/2011,3,3,11,23,23,1,0,39.2,39.52,0.32,0,2011
0,39.46,39.65,0.19,,1/3/2011,3,3,11,21,24,1,0,25.27,25.48,0.21,0,2011
0,38.04,38.33,0.29,,1/4/2011,4,4,11,20,1,1,0,44.06,44.29,0.23,1,2011
0,36.32,36.56,0.24,,1/4/2011,4,4,11,19,2,1,0,44.78,45.2,0.42,1,2011
0,36.16,36.43,0.27,,1/4/2011,4,4,12,20,3,1,0,43.2,43.61,0.41,1,2011
0,36.08,36.32,0.24,,1/4/2011,4,4,12,20,4,1,0,45.68,46.1,0.42,1,2011
-0.08,36.35,36.46,0.19,,1/4/2011,4,4,12,20,5,1,0,46.48,46.87,0.39,1,2011
0,38.25,38.49,0.24,,1/4/2011,4,4,12,20,6,1,0,38.12,38.46,0.34,1,2011
0,41.83,42.03,0.2,,1/4/2011,4,4,11,18,7,1,0,46.9,47.26,0.36,1,2011
-0.41,48.96,48.83,0.28,,1/4/2011,4,4,12,18,8,1,0,51.73,52.16,0.43,1,2011
-0.49,49.43,49.19,0.25,,1/4/2011,4,4,13,20,9,1,0,56.1,56.58,0.48,1,2011
-0.09,50.22,50.27,0.14,,1/4/2011,4,4,14,24,10,1,0,57.73,58.24,0.51,1,2011
0,50.35,50.51,0.16,,1/4/2011,4,4,14,27,11,1,0,51.23,51.68,0.45,1,2011
0,48.9,49.16,0.26,,1/4/2011,4,4,14,30,12,1,0,50.26,50.71,0.45,1,2011
0,45.63,45.9,0.27,,1/4/2011,4,4,15,32,13,1,0,46.22,46.69,0.47,1,2011
0,44.72,45,0.28,,1/4/2011,4,4,17,34,14,1,0,41.61,42.06,0.45,1,2011
0,44.02,44.3,0.28,,1/4/2011,4,4,17,34,15,1,0,38.56,38.95,0.39,1,2011
-0.19,44.75,44.82,0.26,,1/4/2011,4,4,14,34,16,1,0,39.41,39.78,0.37,1,2011
-0.06,46.49,46.66,0.23,,1/4/2011,4,4,13,33,17,1,0,47.77,48.23,0.46,1,2011
-0.15,64.44,64.61,0.32,,1/4/2011,4,4,13,30,18,1,2.1,63.02,65.64,0.52,1,2011
0,60.38,60.72,0.34,,1/4/2011,4,4,13,30,19,1,0.71,58.81,60,0.48,1,2011
0,52.58,52.94,0.36,,1/4/2011,4,4,14,28,20,1,8.14,63.91,72.71,0.66,1,2011
0,48.96,49.36,0.4,,1/4/2011,4,4,15,27,21,1,5.22,56.78,62.57,0.57,1,2011
0,49.39,49.67,0.28,,1/4/2011,4,4,15,27,22,1,0,47.04,47.49,0.45,1,2011
0,44.1,44.43,0.33,,1/4/2011,4,4,15,27,23,1,0,42.5,42.86,0.36,1,2011
0,40.1,40.25,0.15,,1/4/2011,4,4,14,26,24,1,0,37.32,37.59,0.27,1,2011
0,40.03,40.27,0.24,,1/5/2011,5,5,14,27,1,1,0,45.31,45.7,0.39,2,2011
0,38.66,39,0.34,,1/5/2011,5,5,15,27,2,1,0,42.64,43.08,0.44,2,2011
0,38.2,38.54,0.34,,1/5/2011,5,5,16,27,3,1,0,40.39,40.84,0.45,2,2011
0,37.64,37.91,0.27,,1/5/2011,5,5,16,26,4,1,0,38.97,39.5,0.53,2,2011
0,38.64,38.93,0.29,,1/5/2011,5,5,17,25,5,1,0,57.09,57.69,0.6,2,2011
0,41.15,41.29,0.14,,1/5/2011,5,5,18,25,6,1,0,41.66,42.12,0.46,2,2011
0,45.2,45.48,0.28,,1/5/2011,5,5,19,24,7,1,0,48.42,49.01,0.59,2,2011
0,55.89,56.33,0.44,,1/5/2011,5,5,19,24,8,1,0,47.83,48.29,0.46,2,2011
0,54.57,55,0.43,,1/5/2011,5,5,20,25,9,1,0,59.67,60.26,0.59,2,2011
0,51.8,52.16,0.36,,1/5/2011,5,5,20,26,10,1,0,56.24,56.96,0.72,2,2011
0,51.35,51.69,0.34,,1/5/2011,5,5,20,29,11,1,0,53.2,53.9,0.7,2,2011
0,48.9,49.19,0.29,,1/5/2011,5,5,19,31,12,1,0,43.13,43.69,0.56,2,2011
0,47.32,47.6,0.28,,1/5/2011,5,5,18,33,13,1,0,42.58,43.1,0.52,2,2011
0,46.79,47.08,0.29,,1/5/2011,5,5,18,33,14,1,0,43.31,43.86,0.55,2,2011
0,45.86,46.17,0.31,,1/5/2011,5,5,11,33,15,1,0,42.38,42.87,0.49,2,2011
