순위,곡명,아티스트,앨범,장르
78,Lonely Night,권진아,슬기로운 의사생활 OST Part 1,"발라드, 국내드라마"
79,"사랑, 하자",수호 (SUHO),자화상 - The 1st Mini Album,록/메탈
80,Love poem,아이유,Love poem,록/메탈
81,안녕,폴킴,호텔 델루나 OST Part.10,"발라드, 국내드라마"
82,HIP,마마무 (Mamamoo),reality in BLACK,댄스
83,찐이야,영탁,내일은 미스터트롯 결승전 베스트,성인가요
84,품,볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,"인디음악, 포크/블루스"
85,밤이 깊었네 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 OST Part 10,"록/메탈, 국내드라마"
86,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),POP
87,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽 (MAKTUB),Red Moon : SUPERNOVA,"R&B;/Soul, 인디음악"
88,아 진짜요. (Oh really.),엔플라잉 (N.Flying),"So, 通 (소통)",록/메탈
89,보라빛 엽서,임영웅,내일은 미스터트롯 레전드 미션 베스트,성인가요
90,"세계가 불타버린 밤, 우린... (Can't You See Me?)",투모로우바이투게더,꿈의 장: ETERNITY,댄스
91,나보다 더 사랑해요,김호중,나보다 더 사랑해요,성인가요
92,니가 왜 거기서 나와 (Narr. 고은아),영탁,니가 왜 거기서 나와,성인가요
93,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",POP
94,영웅 (英雄; Kick It),NCT 127,NCT #127 Neo Zone - The 2nd Album,랩/힙합
95,To Die For,Sam Smith,To Die For,POP
96,Stay Tonight,청하,Stay Tonight,댄스
97,자나깨나 (Feat. 조이 of Red Velvet),Crush,homemade 1,R&B;/Soul
98,너의 이름은 (Feat. ASH ISLAND),헤이즈 (Heize),Lyricist,R&B;/Soul
99,아로하,임영웅,사랑의 콜센타 PART8,성인가요
100,안녕과 안녕으로,이예준,안녕과 안녕으로,발라드
